frame_idx,second,lampu,env_mean,panel_mean,panel_max,around_mean,delta,std_panel,panel_valid,panel_occluded,mesin_aktif_panel,roll_occluded,operator_near_roll,movement,movement_ema,status_raw,on_cnt,off_cnt,on_sec_count,status_final,operator_status
3930,131,TERANG,149.43,86.24,147,73.61,12.64,5.13,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
3960,132,TERANG,149.45,86.26,147,73.72,12.54,5.15,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
3990,133,TERANG,149.46,86.26,147,73.62,12.64,5.09,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4020,134,TERANG,149.53,86.59,135,73.58,13.02,5.42,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4050,135,TERANG,149.51,86.63,133,73.62,13,5.37,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4080,136,TERANG,149.53,86.66,135,73.65,13.01,5.42,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4110,137,TERANG,149.53,86.61,133,73.59,13.02,5.34,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4140,138,TERANG,149.53,86.62,135,73.65,12.98,5.4,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4170,139,TERANG,149.52,86.66,135,73.57,13.09,5.39,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4200,140,TERANG,149.54,86.79,135,73.62,13.18,5.36,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4230,141,TERANG,149.54,86.69,135,73.57,13.12,5.36,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4260,142,TERANG,149.53,86.7,135,73.66,13.03,5.36,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4290,143,TERANG,149.53,86.72,135,73.62,13.1,5.37,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4320,144,TERANG,149.84,86.4,130,73.73,12.66,4.99,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4350,145,TERANG,149.78,86.42,130,73.81,12.61,4.98,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4380,146,TERANG,149.79,86.42,130,73.77,12.65,4.88,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4410,147,TERANG,149.8,86.42,130,73.82,12.6,4.96,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4440,148,TERANG,149.86,86.42,130,73.76,12.66,4.97,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4470,149,TERANG,149.8,86.57,130,73.7,12.88,4.92,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4500,150,TERANG,149.87,86.48,130,73.66,12.82,4.86,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4530,151,TERANG,150.03,86.49,130,73.81,12.67,4.83,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4560,152,TERANG,149.89,86.42,130,73.69,12.73,4.77,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4590,153,TERANG,149.9,86.49,130,73.74,12.76,4.96,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4620,154,TERANG,150.22,85.76,140,73.09,12.66,5.14,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4650,155,TERANG,150.18,85.75,140,73.11,12.64,5.14,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4680,156,TERANG,150.19,85.74,140,73.11,12.64,5.13,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4710,157,TERANG,150.19,85.76,140,73.25,12.52,5.15,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4740,158,TERANG,150.21,85.81,140,73.21,12.6,5.16,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4770,159,TERANG,150.19,85.83,140,73.16,12.67,5.11,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4800,160,TERANG,150.19,85.81,140,73.14,12.67,5.1,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4830,161,TERANG,150.19,85.81,140,73.18,12.63,5.11,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4860,162,TERANG,150.19,85.81,140,73.17,12.64,5.11,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4890,163,TERANG,150.19,85.85,140,73.17,12.68,5.09,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4920,164,TERANG,150.24,87.16,130,74.19,12.97,4.5,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4950,165,TERANG,150.21,87.11,130,74.15,12.96,4.46,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
4980,166,TERANG,150.21,87.12,130,74.14,12.97,4.46,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
5010,167,TERANG,150.21,87.15,130,74.14,13.02,4.49,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
5040,168,TERANG,150.18,87.17,130,74.25,12.91,4.5,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
5070,169,TERANG,150.13,87.12,130,74.12,13,4.47,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
5100,170,TERANG,150.14,87.13,130,74.12,13.01,4.49,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
5130,171,TERANG,150.16,87.09,130,74.24,12.84,4.45,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
5160,172,TERANG,150.15,87.09,130,74.08,13.01,4.28,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
5190,173,TERANG,150.11,87.17,130,74.11,13.06,4.5,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
5220,174,TERANG,149.41,86.03,135,73.52,12.51,4.66,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
5250,175,TERANG,149.38,86.03,135,73.53,12.5,4.67,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
