frame_idx,second,lampu,env_mean,panel_mean,panel_max,around_mean,delta,std_panel,panel_valid,panel_occluded,mesin_aktif_panel,roll_occluded,operator_near_roll,movement,movement_ema,status_raw,on_cnt,off_cnt,on_sec_count,status_final,operator_status
3840,128,TERANG,143.7,177.82,255,109.37,68.45,42.72,-1,0,1,0,0,0,10.59,IDLE,0,6,0,IDLE,TIDAK ADA
3870,129,TERANG,143.77,177.69,255,108.94,68.74,43.36,-1,0,1,0,0,0,4.14,IDLE,0,6,0,IDLE,TIDAK ADA
3900,130,TERANG,143.95,196.99,247,112.63,84.36,27.04,1,0,1,0,0,0,16.27,IDLE,0,6,0,IDLE,TIDAK ADA
3930,131,TERANG,143.94,204.27,252,108.61,95.66,31.66,1,0,1,0,0,0,2.58,IDLE,0,6,0,IDLE,TIDAK ADA
3960,132,TERANG,143.91,178.68,255,104.73,73.95,48.96,-1,0,1,0,0,0,5.51,IDLE,0,6,0,IDLE,TIDAK ADA
3990,133,TERANG,143.92,179.85,254,105.11,74.74,45.68,-1,0,1,0,0,0,8.28,IDLE,0,6,0,IDLE,TIDAK ADA
4020,134,TERANG,143.9,206.81,249,109.71,97.1,26.51,1,0,1,0,0,0,38.64,IDLE,0,6,0,IDLE,TIDAK ADA
4050,135,TERANG,143.9,200.73,223,113.51,87.22,8,1,0,1,0,0,0,0.04,IDLE,0,6,0,IDLE,TIDAK ADA
4080,136,TERANG,143.96,199.5,247,112.93,86.57,16.33,1,0,1,0,0,0,40.87,IDLE,0,6,0,IDLE,TIDAK ADA
4110,137,TERANG,143.95,200.19,247,114.13,86.06,15.63,1,0,1,0,0,0,200.45,IDLE,2,0,0,IDLE,TIDAK ADA
4140,138,TERANG,143.96,200.69,246,116.12,84.57,16.13,1,0,1,0,0,0,465.84,ON,3,0,2,ON,ADA
4170,139,TERANG,144.48,201.28,248,117.3,83.98,16.64,1,0,1,0,0,0,6.87,IDLE,0,6,0,IDLE,TIDAK ADA
4200,140,TERANG,144.45,201.37,247,117.43,83.94,16.71,1,0,1,0,0,0,7.33,IDLE,0,6,0,IDLE,TIDAK ADA
4230,141,TERANG,144.44,201.5,247,117.57,83.93,17.09,1,0,1,0,0,0,166.96,ON,3,0,13,ON,ADA
